seed,sim_name,sensibility_parameter,sensibility_value,nb_agregats_om,nb_chateaux_om,nb_gros_chateaux_om,nb_seigneurs_om,nb_eglises_om,nb_eglises_paroissiales_om,distance_eglises_paroissiales_om,proportion_fp_isoles_om,augmentation_charge_fiscale_om,total_duration
10.0,4_5_OM,apparition_chateaux,820,109,70,37,200,256,200,2068,0.11625,9.222277597807127,221208
1.0,4_5_OM,apparition_chateaux,800,123,70,37,179,247,197,1890,0.11375,7.285607569721115,222186
1.0,4_5_OM,apparition_chateaux,820,102,70,35,193,262,213,1586,0.09725,7.120517928286852,222909
10.0,4_5_OM,apparition_chateaux,800,106,70,37,209,271,209,1734,0.11875,9.095689010715175,225375
2.0,4_5_OM,apparition_chateaux,800,99,69,35,199,260,210,2122,0.1255,7.382984031936128,231213
7.0,4_5_OM,apparition_chateaux,820,117,69,32,211,244,200,2367,0.12525,7.89412057797708,239059
6.0,4_5_OM,apparition_chateaux,800,117,72,36,206,270,227,2127,0.10925,7.988789237668161,238061
7.0,4_5_OM,apparition_chateaux,800,118,69,32,219,261,217,2037,0.11875,8.030393622321874,239408
2.0,4_5_OM,apparition_chateaux,820,101,69,34,199,274,231,2010,0.10275,7.446606786427146,244126
9.0,4_5_OM,apparition_chateaux,800,119,70,36,189,244,198,2259,0.1,7.047928107838243,246601
9.0,4_5_OM,apparition_chateaux,820,107,70,36,205,256,207,2235,0.10225,8.585122316525213,245629
8.0,4_5_OM,apparition_chateaux,820,120,70,33,198,260,207,2078,0.09,7.0865,247198
6.0,4_5_OM,apparition_chateaux,820,119,72,42,208,260,213,2061,0.1,7.173642252117588,244542
8.0,4_5_OM,apparition_chateaux,800,123,70,33,213,278,227,1740,0.10225,7.27225,251256
5.0,4_5_OM,apparition_chateaux,800,111,70,36,193,248,196,2225,0.11125,7.819655774507358,255728
4.0,4_5_OM,apparition_chateaux,800,122,70,35,220,248,190,2124,0.09275,7.456,255683
5.0,4_5_OM,apparition_chateaux,820,97,70,34,195,257,207,2086,0.10975,8.310301820902968,255773
4.0,4_5_OM,apparition_chateaux,820,112,70,34,203,253,202,2019,0.08125,7.32175,256681
3.0,4_5_OM,apparition_chateaux,800,108,70,37,203,252,204,1808,0.1095,7.312109862671661,270680
3.0,4_5_OM,apparition_chateaux,820,108,70,40,202,252,204,1703,0.094,7.026466916354557,273501
10.0,4_5_OM,apparition_chateaux,860,118,64,32,207,264,209,1784,0.11,6.339147769748318,188424
10.0,4_5_OM,apparition_chateaux,840,102,67,32,198,240,187,2151,0.0975,9.069274856715674,196551
1.0,4_5_OM,apparition_chateaux,860,107,64,30,182,267,217,1893,0.10675,6.283366533864542,208340
1.0,4_5_OM,apparition_chateaux,840,112,68,29,194,269,221,1644,0.10125,6.950697211155378,210941
2.0,4_5_OM,apparition_chateaux,840,103,68,34,194,257,209,1906,0.11125,8.282435129740518,210428
2.0,4_5_OM,apparition_chateaux,860,88,64,30,203,248,194,1954,0.13975,7.0232035928143715,202065
7.0,4_5_OM,apparition_chateaux,840,107,67,33,187,255,210,2304,0.09425,6.651718983557548,221181
6.0,4_5_OM,apparition_chateaux,840,121,68,36,198,257,207,2016,0.11275,7.712506228201295,222019
8.0,4_5_OM,apparition_chateaux,840,123,68,35,196,267,210,1527,0.11175,6.86475,213351
7.0,4_5_OM,apparition_chateaux,860,109,64,30,203,259,211,2248,0.10325,7.520926756352765,221818
6.0,4_5_OM,apparition_chateaux,860,116,64,29,223,266,210,1885,0.099,4.954658694569009,215704
9.0,4_5_OM,apparition_chateaux,860,116,64,26,203,267,217,1939,0.0985,6.2893160259610585,222790
8.0,4_5_OM,apparition_chateaux,860,119,64,30,204,255,204,1776,0.11725,6.83775,216647
9.0,4_5_OM,apparition_chateaux,840,112,68,36,183,242,194,2147,0.11,7.503494757863205,227603
4.0,4_5_OM,apparition_chateaux,840,122,67,33,197,252,202,2088,0.10925,8.36325,231857
4.0,4_5_OM,apparition_chateaux,860,104,64,31,192,251,195,1834,0.11775,8.48725,229239
5.0,4_5_OM,apparition_chateaux,840,102,66,35,206,254,205,2284,0.10975,7.526315789473683,236844
3.0,4_5_OM,apparition_chateaux,840,98,67,34,190,254,205,2177,0.0995,7.908114856429464,232009
5.0,4_5_OM,apparition_chateaux,860,100,63,31,209,246,200,2016,0.121,6.089049638313794,244622
3.0,4_5_OM,apparition_chateaux,860,116,64,30,201,255,206,1830,0.12125,7.729088639200999,235448
10.0,4_5_OM,apparition_chateaux,900,101,56,24,209,251,194,1801,0.13825,6.368552205332668,184768
10.0,4_5_OM,apparition_chateaux,880,104,60,25,200,259,203,1944,0.09625,6.809369548965861,194519
1.0,4_5_OM,apparition_chateaux,900,114,56,26,179,245,196,2056,0.10025,4.92156374501992,201322
1.0,4_5_OM,apparition_chateaux,880,97,60,23,206,254,205,1586,0.08875,5.588894422310757,204434
2.0,4_5_OM,apparition_chateaux,880,117,60,26,202,244,199,2286,0.12475,5.265469061876248,201330
2.0,4_5_OM,apparition_chateaux,900,104,56,19,196,235,187,2221,0.12675,4.7250499001996005,201064
6.0,4_5_OM,apparition_chateaux,880,105,60,27,196,253,203,2127,0.11375,5.647732934728451,204756
6.0,4_5_OM,apparition_chateaux,900,112,56,23,205,251,198,2323,0.11925,4.778774289985051,199922
7.0,4_5_OM,apparition_chateaux,880,112,60,27,196,257,206,1950,0.109,5.406078724464374,214897
8.0,4_5_OM,apparition_chateaux,900,117,56,23,202,255,200,1851,0.11825,5.458,211158
9.0,4_5_OM,apparition_chateaux,900,106,56,24,200,251,197,1766,0.12425,5.268347478781827,210181
7.0,4_5_OM,apparition_chateaux,900,124,56,24,191,256,205,1954,0.12175,4.159940209267563,223770
8.0,4_5_OM,apparition_chateaux,880,117,60,26,213,253,199,2063,0.095,5.57875,227187
9.0,4_5_OM,apparition_chateaux,880,100,60,29,194,249,202,2115,0.1135,6.698701947079381,223496
4.0,4_5_OM,apparition_chateaux,880,118,60,27,199,243,187,1848,0.0935,4.84225,226401
